原单词,词性,中文释义
attach,v.,"附上,系上,贴上,使依恋"
attack,vt.,"攻击,袭击"
attain,v.,"达到,获得"
attempt,vt.,"试图,尝试"
attend,v.,"看护,照料,服侍;出席,参加"
attention,n.,"注意,关心"
attitude,n.,"态度,看法"
attract,v.,"吸引,引起"
attraction,n.,"吸引,吸引力"
attractive,a.,"迷人的,有吸引力的"
audience,n.,"观众,听众"
august,n.,8月
aunt,n.,伯母;舅母;婶;姑;姨
australian,a.,"澳洲的,澳大利亚人的"
australian,n.,澳大利亚人
authentic,a.,"可靠的,可信的,真的,真正的"
author,n.,"作者,作家"
authority,n.,"权力,权威,当局"
automatic,n.,自动的机器
automatic,a.,"自动的,无意识的"
autonomous,a.,自治的
autumn,n.,"秋天,秋季"
available,a.,"可用的,有效的"
avenue,n.,大道
average,a.,平均的;普通的
average,n.,平均数
avoid,v.,"避免,躲开,逃避"
awake,v.,唤醒 醒着的
award,n.,"奖品,奖励"
aware,a.,"知道的,意识到的"
away,ad.,离开;远离
awesome,a.,"引起敬畏的,可怕的"
awful,a.,"可怕的,庄严的"
awkward,a.,笨拙的
awkward,a.,尴尬的
baby,n.,婴儿
bachelor,n.,"单身汉,学士"
back,ad.,回(原处);向后
back,a.,后面的
back,n.,"背后,后部;背"
background,n.,背景
backward,ad.,向后
bacon,n.,咸猪肉;熏猪肉 
bacterium,n.,细菌
badly,ad.,"坏,恶劣地"
badminton,n.,羽毛球
bag,n.,书包;提包;袋子
baggage,n.,行李
bake,v.,烤; 烘(面包)
bakery,n.,面包店
balance,n.,平衡
balcony,n.,阳台;楼座
ball 1,n.,球
ball 2,n.,舞会
ballet,n.,芭蕾舞
balloon,n.,气球
bamboo,n.,竹
ban,n.,禁令
ban,v.,禁止;取缔
banana,n.,香蕉
band,n.,"带子,队,乐队"
band,v.,"联合,结合"
bandage,n.,绷带
bank 1,n.,"(河、海、湖的)岸,堤"
bank 2,n.,银行
bar 1,n.,"条;(长方)块,棒,横木"
barbecue,n.,烤肉野餐
barber,n.,(为男人理发的)理发师
barbershop,n.,理发店
bare,a.,"赤裸的,极少的"
bargain,n.,(经讨价还价之后)成交的商品;廉价货
bargain,v.,讨价还价
bark,v.,狗叫
bark,n.,狗叫声
barrier,n.,"界线,屏障,障碍物"
base,n.,"根据地,基地;(棒球)垒"
baseball,n.,棒球
basement,n.,地下室
basic,a.,基本的
basin,n.,"水盆,脸盆"
basis,n.,"基础,根据"
basket,n.,篮子
basketball,n.,篮球
bat 1,n.,(棒球、板球的)球棒
bat 2,n.,蝙蝠
bath,n.,洗澡;浴室;澡盆
bathe,vi.,洗澡;游泳
bathroom,n.,"浴室,盥洗室"
bathtub,n.,澡盆
battery,n.,电池
battle,n.,战斗;战役
bay,n.,湾; 海湾
bc,n.,公元前
be,v.,"是(原形),其人称和时态形式有am,is, are,was,were,being,been;成为"
beach,n.,"海滨,海滩"
bean,n.,"豆,豆科植物"
beancurd,n.,豆腐
bear 1,v.,"承受,负担,承担;忍受;容忍"
bear 2,n.,熊
beard,n.,(下巴上的)胡须
beast,n.,野兽;牲畜
beautiful,a.,"美的,美丽的,美观的"
beauty,n.,"美丽,美人"
because,conj.,因为
become,v.,变得;成为
bed,n.,床
bedclothes,n.,"铺盖,床单被褥类"
bedroom,n.,"寝室,卧室"
beef,n.,牛肉
beer,n.,啤酒
before,prep.,在…以前;在…前面
before,ad.,以前
before,conj.,在…之前
beg,v.,"请求,乞求,乞讨"
begin,v.,"开始,着手"
beginning,n.,"开始,开端"
behave,v.,"守规矩,行为"
behaviour,n.,"行为,举止"
behind,prep.,(表示位置)在…后面
behind,ad.,在后面;向后
being,n.,物; 生物; 人
belief,n.,"信条,信念"
believe,v.,"相信,认为"
bell,n.,"钟,铃;钟(铃)声;钟形物"
belly,n.,肚子
belong,vi.,"属,附属"
below,prep.,在…下面
belt,n.,(皮)带
bench,n.,长凳; 工作台
bend,vt.,使弯曲
beneath,prep.,在…下方(面)
beneficial,a.,"有益的,有利的"
benefit,n.,利益
benefit,v.,获益
bent,a.,弯的
beside,prep.,在…旁边;*近
besides,prep.,除…以外(还有)
besides,ad.,"还有,此外"
betray,v.,"出卖,背叛"
between,prep.,在(两者)之间;在…中间
beyond,prep.,(表示位置) 在…的那边
bid,n.,出价
bid,v.,"命令,吩咐,投标"
big,a.,大的
billion,num.,"十亿,百亿"
bingo,n.,宾果游戏
biochemistry,n.,生物化学
biography,n.,传记
biology,n.,生物(学)
bird,n.,鸟
birth,n.,出生; 诞生
birthday,n.,生日
birthplace,n.,出生地;故乡
biscuit,n.,饼干
bishop,n.,主教
bit,n.,"一点,一些,少量的"
bite,v.,咬;叮
black,n.,黑色
black,a.,黑色的
blackboard,n.,黑板
blanket,n.,"毛毯,毯子"
bleed,vi.,"出血,流血"
bless,vt.,"保佑,降福"
blind,a.,瞎的
block,n.,大块;(木、石等)块;街区;路障
block,vt.,阻塞;阻挡
blood,n.,"血,血液"
blouse,n.,"宽罩衫;(妇女,儿童穿的)短上衣"
blow,n.,击;打击
blow,v.,吹;刮风;吹气
blue 1,n.,蓝色
blue 1,a.,蓝色的
blue 2,a.,悲伤的;沮丧的
boat,n.,"小船,小舟"
body,n.,身体
boil,v.,沸腾;烧开;煮…
bomb,n.,炸弹
bomb,v.,轰炸
bond,n.,"结合,债券,粘结剂,粘合剂"
bone,n.,"骨头,骨质(复bones骨骼;骨骸)"
bonus,n.,"红利,奖金"
book,n.,书;本子
book,v.,"预定,定(房间,车票等)"
boom,n.,"繁荣,隆隆声"
boot,n.,长统靴;靴
border,n.,"边缘;边境,国界"
boring,a.,"乏味的,无聊的"
born,a.,出生
borrow,v.,(向别人)借用;借
boss,n.,领班;老板
botanical,a.,植物学的
botany,n.,植物; 植物学
both,a.,两;双
both,pron.,两者;双方
bother,v.,烦扰
bottle,n.,瓶子
bottom,n.,底部;底
bounce,n.,"跳,反跃,弹力"
bounce,v.,"弹跳,使...跳"
bound 1,a.,被束缚的;被绑的;有义务的
boundary,n.,"分界线,边界"
bowl,n.,碗
bowling,n.,保龄球
box,n.,"盒子,箱子"
boxing,n.,拳击(运动)
boy,n.,男孩
boycott,v.,抵制(贸易);不参加。
brain,n.,脑(子)
brake,n.,闸
brake,vi.,刹车
branch,n.,"树枝;分枝;分公司,分店;支部"
brand,n.,"商标,牌子,烙印"
brave,a.,勇敢的
bravery,n.,勇气
bread,n.,面包
break,n.,间隙
break,v.,"打破(断,碎);损坏,撕开"
breakfast,n.,早餐
breakthrough,n.,突破
breast,n.,"胸脯,乳房"
breath,n.,气息;呼吸
breathe,vi.,呼吸
breeze,n.,"微风,轻而易举的事"
brewery,n.,啤酒厂
brick,n.,砖;砖块
bride,n.,新娘
bridegroom,n.,新郎
bridge,n.,桥
brief,a.,简洁的
bright,a.,明亮的;聪明的
brilliant,a.,"灿烂的,有才气的,杰出的"
british,a.,英国的;大不列颠的;英国人的
broad,a.,"宽的,宽大的"
broadcast,n.,广播节目
brochure,n.,小册子
broken,a.,弄坏了的
broom,n.,扫帚
brother,n.,兄;弟
brown,n.,"褐色,棕色"
brown,a.,"褐色的,棕色的"
brunch,n.,早午饭(晚早饭)
brush,v.,刷;擦
brush,n.,刷子
bucket,n.,铲斗;桶
buddhism,n.,佛教
budget,n.,预算
buffet,v.,打击
build,v.,建筑;造
building,n.,建筑物;房屋;大楼
bunch,n.,"一串,一束"
bunch,v.,"使捆成束,挤成一群"
bungalow,n.,平房
burden,n.,"负担,重载"
bureaucratic,a.,官僚的
burglar,n.,窃贼
burst,v.,突然发生; 突然发作
bury,vt.,埋;葬
bus,n.,公共汽车
bush,n.,"灌木丛,矮树丛"
business,n.,"(本分)工作,职业;职责;生意,交易;事业"
businessman,n.,商人(男);男企业家
businesswoman,n.,商人(女);女企业家
busy,a.,忙(碌)的
but,conj.,"但是,可是"
but,prep.,"除了,除…外"
butcher,n.,肉店;屠夫
butcher,vt.,屠宰(动物);残杀
butter,n.,"黄油,奶油"
butterfly,n.,蝴蝶
buy,vt.,买
bye-bye,int.,再见
cab,n.,(美)出租车
cabbage,n.,"卷心菜,洋白菜"
cafe,n.,咖啡馆; 餐馆
cafeteria,n.,自助餐厅
cage,n.,笼;鸟笼
cake,n.,"蛋糕,糕点;饼"
calculate,v.,"计算,考虑,计划"
call,n.,"喊,叫;电话,通话"
call,v.,"称呼;呼唤;喊,叫"
calm,a.,镇静的; 沉着的
calm,v.,镇静; 沉着
camel,n.,骆驼
camera,n.,照相机;摄像机
camp,n.,(夏令)营
camp,vi.,野营; 宿营
campaign,n.,"战役,运动,活动"
canal,n.,"运河,沟渠"
canal,n.,运河;水道
cancel,vt.,取消
cancer,n.,癌
candidate,n.,"候选人,求职者"
candle,n.,蜡烛
candy,n.,糖果
canteen,n.,餐厅;食堂
capital,n.,"首都,省会;大写;资本"
capsule,n.,"胶囊,太空舱"
capture,v.,"抓取,获得,迷住"
car,n.,"汽车,小卧车"
carbon,n.,碳
card,n.,卡片;名片;纸牌
care,n.,"照料,保护;小心"
care,v.,"介意…,在乎;关心"
careful,a.,"小心的,仔细的,谨慎的"
careless,a.,"粗心的,漫不经心的"
carpenter,n.,木匠
carpet,n.,地毯
carriage,n.,四轮马车;(火车)客车厢
carrier,n.,搬运者;媒介;(自行车等的)置物架; (车的)货架
carry,vt.,"拿,搬,带,提,抬,背,抱,运等"
cart,n.,二轮运货马车
cartoon,n.,"动画片,卡通;漫画"
case 1,n.,情况;病例;案件;真相
case 2,n.,箱;盒;容器
cash,n.,"现金,现钞"
cash,v.,兑现
cassette,n.,盒式录音带
cast,v.,"扔,抛,撒"
castle,n.,城堡
casual,a.,"偶然的,随便的,漫不经心的"
cat,n.,猫 
catalog,n.,"目录,总目"
catastrophe,n.,"大灾难,大祸"
catch,v.,接住;捉住;赶上;染上(疾病)
category,n.,"种类,类别"
cater,v.,"备办食物,投合,迎合"
cathedral,n.,大教堂
cattle,n.,"牛(总称),家畜"
cause,n.,"原因,起因"
cause,vt.,"促使,引起,使发生"
caution,n.,"小心,慎重,警示"
cautious,a.,"十分小心的,谨慎的"
cave,n.,"洞,穴;地窖"
ceiling,n.,"天花板,顶棚"
celebrate,v.,庆祝
celebration,n.,庆祝;庆祝会
cellar,n.,地窖;地下储藏室
cent,n.,美分(100 cents = 1dollar)
centigrade,a.,摄氏的
central,a.,"中心的,中央的;主要的"
century,n.,"世纪,百年"
ceremony,n.,"典礼,仪式,礼节,礼仪"
certain,a.,"(未指明真实名称的)某…; 确定的,无疑的;一定会…"
certainly,ad.,"当然,是的;一定,无疑"
certificate,n.,"证明,证明书"
chain,n.,链; 链条
chair,n.,椅子
chairman,n.,"主席,会长;议长"
chairwoman,n.,"女主席, 女会长;女议长"
chalk,n.,粉笔
champion,n.,"冠军,优胜者"
chance,n.,"机会,可能性"
change,n.,零钱;找头
change,v.,"改变,变化;更换;兑换"
chant,n.,"圣歌,赞美诗"
chaos,n.,混乱
character,n.,"(汉)字,字体;品格,人物"
characteristic,a.,"特有的,典型的"
charge,v.,要求收费;索价;将(电池)充电
charge,n.,费用;价钱
chapter,n.,"章,回,篇"
chart,n.,图表;航海图
cheap,a.,"便宜的,廉价的"
check,n.,检查;批改
check,vt.,"校对,核对;检查;批改"
cheek,n.,"面颊,脸蛋"
cheers,int.,"干杯,(英口语)谢谢,再见"
cheese,n.,奶酪
chef,n.,厨师
chemical,a.,化学的
chemical,n.,化学品
chemist,n.,药剂师;化学家
chemistry,n.,化学
chess,n.,棋
chest,n.,箱子;盒子;胸部
chew,vt.,咀嚼
chicken,n.,鸡;鸡肉
chief,a.,主要的; 首要的
chief,n.,"领导,头"
child,n.,"孩子,儿童"
childhood,n.,"幼年时代,童年"
chimney,n.,"烟囱,烟筒"
china,n.,"陶瓷,陶器"
chinese,a.,"中国的;中国人的;中国话的,汉语的"
chinese,n.,"中国人;中国话,汉语,中文"
chocolate,n.,巧克力
choice,n.,选择;抉择
choir,n.,"唱诗班,唱诗班的席位"
choose,vt.,选择
chopsticks,n.,筷子
chorus,n.,"合唱队,齐声说道"
christian,n.,基督教徒和天主教徒的总称
christmas,n.,圣诞节(12月25日)
church,n.,教堂;教会
cigar,n.,雪茄烟
cigarette,n.,"纸烟,香烟"
cinema,n.,电影院;电影
circle,n.,圆圈
circle,vt.,将…圈起来
circuit,n.,"电路,一圈,巡回"
circulate,v.,"流通,循环,传播"
circumstance,n.,"环境,状况,事件"
circus,n.,马戏团
citizen,n.,公民;居民
city,n.,"市,城市,都市"
civil,a.,国内的;平民(非军人)的;民用的
civilian,a.,平民的
civilization,n.,"文明,文化"
clap,vi.,拍手; 鼓掌
clarify,v.,"澄清,阐明,使...明晰"
class,n.,(学校里的)班;年级;课
classical,a.,传统的;古典的
classify,v.,"分类,归类,分等"
classmate,n.,同班同学
classroom,n.,教室
claw,n.,爪
clay,n.,"粘土,泥土"
clean,vt.,"弄干净,擦干净"
clean,a.,"清洁的,干净"
cleaner,n.,清洁工;清洁器;清洁剂
clear,a.,清晰的;明亮的;清楚的
clerk,n.,书记员;办事员;职员
clever,a.,"聪明的,伶俐的"
click,v.,点击(计算机用语)
climate,n.,气候
climb,v.,"爬,攀登"
clinic,n.,诊所
clock,n.,钟
clone,n.,克隆(无性繁殖出来的有机体群)
close 1,a.,"亲密的;近,亲近"
close 1,ad.,"近,附近"
close 2,vt.,"关,关闭"
cloth,n.,布
clothing,n.,(总称) 衣服
cloud,n.,云;云状物;阴影
cloudy,a.,"多云的,阴天的"
club,n.,俱乐部;纸牌中的梅花
clumsy,a.,笨拙的
coach,n.,教练;马车;长途车
coal,n.,煤;煤块
coast,n.,海岸;海滨
coat,n.,外套;涂层;表皮;皮毛
coat,vt.,给…穿外套;涂上
cock,n.,公鸡
cocoa,n.,可可粉
coffee,n.,咖啡
coin,n.,硬币
coke,n.,可口可乐
cold,a.,"冷的,寒的"
cold,n.,"寒冷;感冒,伤风"
collar,n.,衣领; 硬领
colleague,n.,同事
collect,vt.,"收集,搜集"
collection,n.,"收藏品,收集物"
college,n.,学院;专科学校
collision,n.,"碰撞,冲突"
comb,n.,梳子
comb,v.,梳
combine,vt.,使联合;使结合
come,vi.,"来,来到"
comedy,n.,喜剧
comfort,n.,安慰; 慰问
comfortable,a.,舒服的;安逸的;舒服自在
comment,n.,评论
commercial,a.,商业的
commercial,n.,商业广告
commit,v.,"委托(托付),犯罪,作...事,承诺"
commitment,n.,"委托,实行,承诺,保证"
committee,n.,委员会
common,a.,"普通的,一般的;共有的"
communicate,v.,"交际;传达(感情,信息等)"
communication,n.,交际;交往;通讯
communism,n.,共产主义
communist,n.,共产主义者
communist,a.,共产党的;共产主义的
companion,n.,同伴;同事
company,n.,公司
compare,vt.,"比较,对照"
compass,n.,指南针
compensate,v.,"偿还,补偿,付报酬"
compete,vi.,"比赛,竞赛"
competence,n.,能力
competition,n.,"比赛,竞赛"
complete,a.,完成的
complete,vt.,"完成,结束"
complex,a.,复杂的
component,n.,"元件,组件,成份"
composition,n.,作文;作曲
comprehension,n.,"理解(力),领悟"
compromise,n.,"妥协,折衷"
compromise,v.,"妥协,让步"
compulsory,a.,"被强制的,强迫的,义务的"
computer,n.,电子计算机
comrade,n.,同志
concentrate,v.,"集中,专心,浓缩"
concept,n.,"概念,观念"
concern,n.,"关心,关系,关切的事,忧虑"
concern,v.,"涉及,与...有关,影响;使关心"
concert,n.,音乐会;演奏会
conclude,v.,"完成,结束"
conclusion,n.,结论;结束
concrete,n.,"水泥,混凝土"
condition,n.,"条件,状况"
condemn,v.,"判刑,责备,处刑"
conduct,vt.,"引导,带领"
conductor,n.,"管理人;指导者;(车上的)售票员,列车员;乐队指挥"
conference,n.,(正式的)会议;讨论
confident,a.,"确信的,自信的"
confidential,a.,"机密的,获他人信赖的,易于信任他人的"
confirm,v.,"确定,批准,证实"
conflict,n.,"冲突,矛盾,争执"
confuse,v.,"混乱,狼狈,困惑"
congratulate,vt.,祝贺
congratulation,n.,"祝贺,庆贺"
connect,vt.,"连接,把…联系起来"
connection,n.,"连接物;接触,联系"
conscience,n.,良心
consensus,n.,"一致,合意,交感"
consequence,n.,"结果,后果"
conservative,a.,"保守的,守旧的;保守主义的;谨慎的"
conservative,n.,"保守的人,保守主义"
consider,vt.,考虑
considerate,a.,体贴的
consideration,n.,考虑;关心
consist,v.,"包含,组成,构成"
constant,a.,"经常的,不断的"
constitution,n.,"宪法,组织,体格"
construct,v.,"构筑;建造,建设"
construction,n.,"建造,建设;建筑物"
consult,v.,"商讨,向...请教,查阅"
consultant,n.,顾问
consume,v.,"消耗,消费,饮食;毁灭;消磨;枯萎"
contain,v.,包含;包括;能容纳
container,n.,容器
contemporary,n.,同时代的人
contemporary,a.,同时代的
content 1,a.,"甘愿的,满意的"
content 2,n.,内容
continent,n.,"大陆,大洲;陆地"
continue,vi.,继续
contradict,v.,"反驳,顶触,矛盾"
contradictory,a.,"反驳的,反对的,抗辩的"
contrary,n.,相反
contrary,a.,相反的
contribute,v.,"有助于,捐助,投稿,贡献"
contribution,n.,贡献
controversial,a.,"引起争论的,有争议的"
convenience,n.,便利
convenient,a.,"便利的,方便的"
conventional,a.,"普通的,常见的,常规的"
conversation,n.,"谈话,交谈"
convey,v.,"传达,运输,转移"
convince,v.,"说服,使...相信"
cook,n.,"炊事员,厨师"
cook,v.,"烹调,做饭"
cooker,n.,炊具(锅、炉灶、烤炉等)
cookie,n.,小甜饼
cool,a.,"凉的,凉爽的;酷"
copy,n.,"抄本,副本;一本(份,册…)"
copy,v.,抄写;复印;(计算机用语)拷(备份盘)
coral,n.,珊瑚;珊瑚虫
corner,n.,角;角落;拐角
corporation,n.,公司
correct,v.,改正;纠正
correct,a.,"正确的,对的;恰当的"
correction,n.,改正
correspond,vi.,"一致;与…相当;(与人)通信,有书信往来"
corrupt,a.,"腐败的,贪污的,败德的"
cost,n.,价格
cost,v.,值(多少钱);花费
cosy,a.,舒适的
cottage,n.,"(郊外的)小屋,村舍;别墅"
cotton,n.,棉花
cotton,a.,棉花的
could,v.,"(can的过去式)可以…;(表示许可或请求)可以…,行"
count,vt.,"数,点数"
counter,n.,"柜台,结账处"
country,n.,"国家;农村,乡下"
countryside,n.,"乡下,农村"
couple,n.,"夫妇,一对"
courage,n.,勇气; 胆略
course,n.,过程;经过;课程
court,n.,法庭;法院
courtyard,n.,"庭院,院子"
cousin,n.,"堂(表)兄弟,堂(表)姐妹"
cover,n.,盖子;罩
cover,v.,"覆盖,遮盖;掩盖"
cow,n.,"母牛,奶牛"
